paper_arxiv_id,paper_title,repo_url,framework,year,subfield,conference,is_official,mentioned_in_paper
2306.06965,NF4 Isn't Information Theoretically Optimal (and that's Good),https://github.com/davisyoshida/abnormal-floats,jax,2023,other_ml,,True,True
2405.02201,Regularized Q-learning through Robust Averaging,https://github.com/2raq/code,none,2024,other_ml,,True,True
2207.12258,Equivariance and Invariance Inductive Bias for Learning from Insufficient Data,https://github.com/wangt-cn/eqinv,pytorch,2022,other_ml,,True,True
2407.19906,Reverse Map Projections as Equivariant Quantum Embeddings,https://github.com/kezmcd1903/equivariant_qnns,none,2024,other_ml,,True,True
2310.17468,Cross-modal Active Complementary Learning with Self-refining Correspondence,https://github.com/qinyang79/crcl,pytorch,2023,other_ml,cross-modal-active-complementary-learning,True,True
2410.23844,Commonsense Knowledge Editing Based on Free-Text in LLMs,https://github.com/huangxiusheng/dem,none,2024,other_ml,,True,True
2410.13831,The Disparate Benefits of Deep Ensembles,https://github.com/ml-jku/disparate-benefits,pytorch,2024,other_ml,,True,True
2501.06713,MiniRAG: Towards Extremely Simple Retrieval-Augmented Generation,https://github.com/hkuds/minirag,none,2025,other_ml,,True,True
2308.12108,The Local Learning Coefficient: A Singularity-Aware Complexity Measure,https://github.com/edmundlth/scalable_learning_coefficient_with_sgld,jax,2023,other_ml,,True,True
2310.01433,AI-Aristotle: A Physics-Informed framework for Systems Biology Gray-Box Identification,https://github.com/mariodeflorio/ai-aristotle,jax,2023,other_ml,,True,True
2401.08328,Un-Mixing Test-Time Normalization Statistics: Combatting Label Temporal Correlation,https://github.com/devavrattomar/unmixtns,pytorch,2024,other_ml,,True,True
2310.05791,Problem-Solving Guide: Predicting the Algorithm Tags and Difficulty for Competitive Programming Problems,https://github.com/sronger/psg_predicting_algorithm_tags_and_difficulty,pytorch,2023,other_ml,,True,True
2312.03441,UFineBench: Towards Text-based Person Retrieval with Ultra-fine Granularity,https://github.com/zplusdragon/ufinebench,pytorch,2023,other_ml,,True,True
2504.01980,Information Gain Is Not All You Need,https://github.com/lericson/datrie,none,2025,other_ml,,True,True
2308.11783,Coarse-to-Fine Multi-Scene Pose Regression with Transformers,https://github.com/yolish/c2f-ms-transformer,pytorch,2023,other_ml,,True,True
2312.17590,DSBplot: Indels in DNA Double-strand Break Repair Experiments,https://github.com/tchannagiri/dsbplot,none,2023,other_ml,,True,True
2404.02478,FedSelect: Personalized Federated Learning with Customized Selection of Parameters for Fine-Tuning,https://github.com/lapisrocks/fedselect,pytorch,2024,other_ml,,True,True
2507.07883,SAMO: A Lightweight Sharpness-Aware Approach for Multi-Task Optimization with Joint Global-Local Perturbation,https://github.com/OptMN-Lab/SAMO,pytorch,2025,other_ml,,True,True
2310.00796,SIP: Injecting a Structural Inductive Bias into a Seq2Seq Model by Simulation,https://github.com/namednil/sip,pytorch,2023,other_ml,,True,True
2404.18114,Deep Boosting Learning: A Brand-new Cooperative Approach for Image-Text Matching,https://github.com/Paranioar/DBL,pytorch,2024,other_ml,,True,True
2305.14964,Detecting Multidimensional Political Incivility on Social Media,https://github.com/sagipend/detecting-multidimensional-political-incivility-on-social-media,none,2023,other_ml,,True,True
2301.12379,FedRC: Tackling Diverse Distribution Shifts Challenge in Federated Learning by Robust Clustering,https://github.com/lins-lab/fedrc,pytorch,2023,other_ml,,True,True
2306.08189,Language models are not naysayers: An analysis of language models on negation benchmarks,https://github.com/joey234/llm-neg-bench,none,2023,other_ml,,True,True
2305.00195,Data-Driven Subgroup Identification for Linear Regression,https://github.com/zleizzo/ddgroup,none,2023,other_ml,,True,True
2412.17723,Asynchronous Federated Learning: A Scalable Approach for Decentralized Machine Learning,https://github.com/ali-forootani/asynchronous-federated-learning,pytorch,2024,other_ml,,True,True
2302.08466,Marich: A Query-efficient Distributionally Equivalent Model Extraction Attack using Public Data,https://github.com/debabrota-basu/marich,pytorch,2023,other_ml,,True,True
2501.10131,ACE: Anatomically Consistent Embeddings in Composition and Decomposition,https://github.com/jlianglab/ace,pytorch,2025,other_ml,,True,True
2407.06136,Mamba-FSCIL: Dynamic Adaptation with Selective State Space Model for Few-Shot Class-Incremental Learning,https://github.com/xiaojieli0903/mamba-fscil,pytorch,2024,other_ml,,True,True
2305.07863,A Flow-Based Generative Model for Rare-Event Simulation,https://github.com/hoergems/rare-event-simulation-normalizing-flows,pytorch,2023,other_ml,,True,True
2401.09949,SymbolNet: Neural Symbolic Regression with Adaptive Dynamic Pruning for Compression,https://github.com/hftsoi/symbolnet,tf,2024,other_ml,,True,True
2205.07496,Efficient Knowledge Compilation Beyond Weighted Model Counting,https://github.com/raki123/cc,none,2022,other_ml,,True,True
2407.11186,Empowering Persian LLMs for Instruction Following: A Novel Dataset and Training Approach,https://github.com/Hojjat-Mokhtarabadi/FarsInstruct,pytorch,2024,other_ml,,True,True
2303.07110,Upcycling Models under Domain and Category Shift,https://github.com/ispc-lab/glc,pytorch,2023,other_ml,,True,True
2506.07066,From Axioms to Algorithms: Mechanized Proofs of the vNM Utility Theorem,https://github.com/jingyuanli-hk/vNM-Theorem-pub,none,2025,other_ml,,True,True
2406.11711,OGNI-DC: Robust Depth Completion with Optimization-Guided Neural Iterations,https://github.com/princeton-vl/ogni-dc,pytorch,2024,other_ml,,True,True
2306.16680,Exploring the Representation Power of SPLADE Models,https://github.com/ielab/understanding-splade,jax,2023,other_ml,,True,True
